	Month of Period End
Potomac Falls, VA	
Potomac Heights, MD	
Potomac Mills, VA	
Potomac Park, CA	178
Potomac Park, MD	
Potomac, IL	
Potomac, MD	327
Potomac, MT	
Potosi, TX	211
Potosi, WI	88
Potrero, CA	
Potsdam, NY	
Potsdam, OH	
Pottawattamie Park, IN	98
Potter Lake, WI	269
Potter Valley, CA	
Potter, NY	
Potter, WI	
Potters Mills, PA	
Pottersville, NJ	
Pottersville, NY	
Potterville, MI	136
Pottery Addition, OH	
Potts Camp, MS	
Pottsboro, TX	200
Pottsgrove, PA	212
Pottstown, PA	169
Pottsville, AR	
Pottsville, PA	61
Potwin, KS	
Poughkeepsie, NY	159
Poulan, GA	
Poulsbo, WA	309
Poultney, VT	64
Pound Ridge, NY	457
Pound, VA	
Pound, WI	
Pounding Mill, VA	
Poway, CA	589
Powder Springs, GA	175
Powderly, KY	69
Powderly, TX	141
Powdersville, SC	162
Powell, AL	
Powell, OH	197
Powell, TN	176
Powell, TX	
Powers Lake, WI	
Powers, MI	
Powers, OR	
Powhatan Point, OH	49
Powhatan, VA	204
Pownal Center, VT	
Pownal, VT	87
Poydras, LA	90
Poyen, AR	
Poynette, WI	183
Poynor, TX	
Prado Verde, TX	
Prague, NE	
Prague, OK	82
Prairie City, IA	259
Prairie City, IL	
Prairie Creek, AR	173
Prairie du Sac, WI	163
Prairie Grove, AR	181
Prairie Grove, IL	175
Prairie Heights, WA	316
Prairie Home, MO	87
Prairie Home, NE	
Prairie Ridge, WA	302
Prairie View, TX	103
Prairie Village, KS	269
Prairieburg, IA	
Prairietown, IL	
Prairieville, LA	169
Prairiewood Village, SD	153
Prathersville, MO	
Prattsburg, NY	30
Prattsburgh, NY	30
Prattsville, AR	
Prattville, AL	136
Preakness, NJ	345
Preble, NY	123
Preemption, IL	
Premont, TX	48
Prescott Valley, AZ	276
Prescott, AR	78
Prescott, AZ	320
Prescott, KS	
Prescott, OR	
Prescott, WA	
Prescott, WI	147
Presidential Lakes Estates, NJ	182
Presquille, LA	
Prestbury, IL	117
Preston Heights, IL	192
Preston-Potter Hollow, NY	
Preston, ID	201
Preston, MN	95
Preston, TX	172
Preston, WA	
Pretty Bayou, FL	193
Pretty Prairie, KS	
Prewitt, NM	
Price, UT	115
Prices Fork, VA	197
Priceville, AL	163
Prichard, AL	74
Prien, LA	152
Priest Point, WA	1,042
Priest River, ID	235
Primera, TX	165
Prince Frederick, MD	191
Prince George, VA	165
Prince's Lakes, IN	111
Princeton Junction, NJ	297
Princeton Meadows, NJ	313
Princeton, FL	259
Princeton, IA	
Princeton, ID	
Princeton, IL	89
Princeton, KS	
Princeton, MA	266
Princeton, MN	171
Princeton, NC	182
Princeton, NE	
Princeton, NJ	446
Princeton, SC	
Princeton, TX	184
Princetown, NY	
Princeville, HI	787
Princeville, IL	76
Princeville, NC	79
Prineville Lake Acres, OR	240
Prineville, OR	254
Pringle, PA	
Prinsburg, MN	68
Prior Lake, MN	188
Privateer, SC	
Proberta, CA	
Proctor, VT	118
Proctorsville, VT	
Proctorville, NC	94
Proctorville, OH	
Progreso Lakes, TX	
Progreso, TX	96
Progress Village, FL	189
Progress, PA	151
Promised Land, SC	
Pronghorn, OR	
Prophetstown, IL	69
Prospect Heights, IL	205
Prospect Park, NJ	208
Prospect Park, PA	179
Prospect, KY	134
Prospect, LA	
Prospect, NC	
Prospect, NY	83
Prospect, OH	76
Prospect, OR	357
Prospect, PA	
Prosper, TX	243
Prosperity, SC	226
Prosser, NE	
Prosser, WA	226
Providence Village, TX	168
Providence, NY	
Providence, RI	194
Providence, TX	170
Providence, UT	207
Provincetown, MA	1,081
Provo, UT	241
Prue, OK	114
Prunedale, CA	483
Pryorsburg, KY	83
Puako, HI	1,555
Puckett, MS	146
Pueblo Nuevo, TX	
Pueblo West, CO	158
Pueblo, CO	171
Pueblo, NM	
Pughtown, PA	252
Puhi, HI	738
Pukalani, HI	683
Pulaski, NY	117
Pulaski, VA	114
Pulaski, WI	150
Pulcifer, WI	
Pullman, WA	208
Pulpotio Bareas, NM	
Pulteney, NY	
Pultneyville, NY	151
Pumphrey, MD	184
Pumpkin Center, CA	
Pumpkin Center, NC	134
Pumpkin Hollow, OK	
Punaluu, HI	433
Punta Gorda, FL	253
Punta Rassa, FL	
Pupukea, HI	1,004
Purcell, MO	
Purcell, OK	142
Purcellville, VA	245
Purdue University, IN	
Purdy, WA	381
Purty Rock, NM	
Puryear, TN	25
Put-in-Bay, OH	
Putnam Lake, NY	271
Putnam Valley, NY	267
Putnam, CT	173
Putnam, NY	
Putnam, TX	
Putney, GA	46
Puyallup, WA	290
Pylesville, MD	184
Pymatuning Central, PA	73
Pymatuning North, PA	
Pymatuning South, PA	161
Quail Creek, TX	
Quail Ridge, FL	190
Quail Valley, CA	369
Quaker City, OH	
Quakertown, PA	182
Quantico Base, VA	
Quantico Station, VA	
Quantico, VA	
Quapaw, OK	117
Quarryville, PA	175
Quartz Hill, CA	252
Quasset Lake, CT	484
Quechee, VT	226
Queen Anne, MD	223
Queen City, MO	
Queen Creek, AZ	248
Queen Valley, AZ	207
Queenland, MD	
Queens Gate, PA	247
Queensbury, NY	186
Queensland, MD	
Queenstown, MD	
Quenemo, KS	
Quentin, PA	127
Questa, NM	
Quincy, FL	111
Quincy, IL	88
Quincy, MA	471
Quincy, MI	83
Quincy, OH	56
Quincy, WA	214
Quinebaug, CT	
Quinlan, TX	173
Quinn, SD	
Quinnesec, MI	
Quintana, TX	
Quinton, NJ	
Quinton, OK	
Quiogue, NY	947
Quitman, GA	
Quitman, MO	
Quitman, MS	
Qulin, MO	
Quogue, NY	2,558
Quonochontaug, RI	566
Rabbit Hash, KY	
Raceland, KY	68
Raceland, LA	134
Racine, MN	151
Racine, WI	126
Rackerby, CA	235
Radcliff, KY	132
Rader Creek, MT	
Radford, VA	159
Radisson, NY	166
Radium Springs, NM	
Radnor Township, PA	333
Radnor, OH	
Raeford, NC	144
Raemon, NC	
Raft Island, WA	655
Ragland, AL	
Raglesville, IN	
Ragsdale, IN	
Rahway, NJ	314
Railroad, PA	
Rainbow City, AL	134
Rainbow Lakes Estates, FL	172
Rainbow Lakes, NJ	415
Rainbow Park, FL	202
Rainbow Springs, FL	174
Rainbow, CA	379
Rainier, OR	260
Rainier, WA	263
Rainsville, AL	139
Rainsville, IN	
Raintree Plantation, MO	173
Raisin City, CA	
Raleigh Hills, OR	323
Raleigh, FL	
Raleigh, NC	223
Ralls, TX	47
Ralston, NE	137
Ralston, OK	
Ramah, CO	
Ramah, NM	
Ramapo College of New Jersey, NJ	
Ramapo, NY	264
Ramblewood, NJ	176
Ramblewood, PA	
Ramey, PA	
Ramona, CA	395
Ramona, OK	94
Ramseur, NC	128
Ramsey, MN	167
Ramsey, NJ	326
Ramtown, NJ	338
Ranchita, CA	
Ranchitos Del Norte, TX	
Rancho Alegre, TX	
Rancho Cordova, CA	300
Rancho Cucamonga, CA	403
Rancho Mesa Verde, AZ	
Rancho Mirage, CA	386
Rancho Mission Viejo, CA	571
Rancho Murieta, CA	297
Rancho Palos Verdes, CA	809
Rancho San Diego, CA	492
Rancho Santa Fe, CA	1,003
Rancho Santa Margarita, CA	587
Rancho Tehama Reserve, CA	156
Rancho Viejo, TX	123
Ranchos de Taos, NM	265
Randallstown, MD	161
Randleman, NC	170
Randlett, OK	
Randlett, UT	
Randolph AFB, TX	
Randolph Town, MA	302
Randolph, KS	
Randolph, MA	302
Randolph, ME	178
Randolph, MN	136
Randolph, MO	
Randolph, MS	
Randolph, NY	
Randolph, TN	
Randolph, VT	151
Randolph, WI	128
Random Lake, WI	172
Randsburg, CA	
Ranger, GA	112
Rangerville, TX	
Rankin, IL	
Rankin, PA	89
Ranlo, NC	169
Ranshaw, PA	
Ransom Canyon, TX	198
Ransom, IL	
Ransomville, NY	
Ranson, WV	145
Rantoul, IL	78
Rantoul, KS	
Raoul, GA	72
Rapelje, MT	
Rapid City, MI	250
Rapid City, SD	181
Rapid River, MI	
Rapid Valley, SD	181
Rapids City, IL	
Rapids, NY	198
Rarden, OH	
Raritan, IL	
Raritan, NJ	315
Rarity Bay, TN	242
Ratamosa, TX	
Rathbone, NY	
Rathdrum, ID	275
Ratliff City, OK	
Raub, IN	
Raubsville, PA	212
Rauchtown, PA	
Raven, VA	
Ravena, NY	123
Ravenel, SC	423
Ravenna, KY	73
Ravenna, MI	161
Ravenna, NE	
Ravenna, OH	113
Ravenna, TX	
Ravensdale, WA	
Ravensworth, VA	
Ravenwood, MO	
Ravine, PA	
Rawlings, MD	119
Rawson, OH	
Ray, AL	
Rayland, OH	106
Raymer (New Raymer), CO	
Raymond, IA	151
Raymond, MN	
Raymond, MS	95
Raymond, NE	
Raymond, NH	290
Raymond, OH	
Raymond, WI	329
Raymondville, TX	66
Raymore, MO	159
Rayne, LA	120
Raynham Center, MA	429
Raynham, MA	272
Raynham, NC	
Raytown, MO	127
Rayville, MO	
Rea, MO	
Reading, KS	
Reading, MA	395
Reading, MI	148
Reading, OH	118
Reading, PA	100
Readlyn, IA	
Readsboro, VT	
Realitos, TX	
Reamstown, PA	164
Reasnor, IA	58
Rebersburg, PA	
Rectortown, VA	
Red Bank, NJ	341
Red Banks, MS	
Red Bluff, CA	205
Red Boiling Springs, TN	139
Red Chute, LA	162
Red Cliff, CO	
Red Creek, NY	162
Red Cross, NC	
Red Feather Lakes, CO	
Red Hill, PA	
Red Hill, SC	177
Red Hook, NY	220
Red House, NY	
Red Lake, AZ	364
Red Lick, TX	
Red Lion, PA	141
Red Lodge, MT	
Red Oak, NC	172
Red Oak, TX	169
Red Oaks Mill, NY	228
Red River, NM	266
Red Rock, AZ	153
Red Rock, TX	
Red Springs, NC	76
Red Wing, MN	164
Redan, GA	144
Redbird Smith, OK	
Reddick, FL	174
Reddick, IL	86
Redding Center, CT	
Redding, CA	245
Redfield, AR	99
Redfield, IA	123
Redfield, NY	
Redfield, TX	
Redford, NY	
Redings Mill, MO	
Redington Beach, FL	530
Redington Shores, FL	711
Redland, AL	141
Redland, MD	271
Redland, TX	155
Redlands, CA	350
Redlands, CO	244
Redmond, OR	298
Redmond, WA	577
Redondo Beach, CA	755
Redrock, NM	
Redstone Arsenal, AL	
Redstone, CO	
Redvale, CO	
Redwater, TX	
Redway, CA	
Redwood City, CA	1,164
Redwood Valley, CA	
Redwood, NY	
Redwood, OR	275
Redwood, TX	152
Reece City, AL	
Reed Point, MT	
Reedley, CA	200
Reeds, MO	
Reedsburg, WI	196
Reedsport, OR	190
Reedsville, PA	162
Reedsville, WI	
Reedurban, OH	113
Reeltown, AL	
Reese, PA	
Reeseville, WI	
Reevesville, SC	
Reform, AL	76
Refton, PA	
Regal, MN	
Regency at Monroe, NJ	287
Register, GA	
Rehobeth, AL	145
Rehoboth, MA	260
Rehrersburg, PA	172
Reid Hope King, TX	
Reid, MD	
Reidland, KY	113
Reidsville, NC	127
Reidville, SC	155
Reiffton, PA	138
Reightown, PA	
Reinbeck, IA	88
Reinerton, PA	113
Reinholds, PA	110
Reisterstown, MD	196
Reklaw, TX	
Reliez Valley, CA	733
Rembert, SC	
Rembrandt, IA	
Remer, MN	
Remerton, GA	
Reminderville, OH	172
Remington, IN	116
Remington, OH	295
Remington, VA	
Remlap, AL	158
Remsen, NY	
Remsenburg-Speonk, NY	542
Remy, OK	144
Renaissance at Monroe, NJ	
Rendon, TX	207
Rendville, OH	
Renick, MO	
Renner Corner, SD	
Rennerdale, PA	
Rennert, NC	
Renningers, PA	
Reno Beach, OH	
Reno, NV	300
Reno, OH	
Reno, TX	156
Renova, MS	
Renovo, PA	
Rensselaer, IN	129
Rensselaer, MO	
Rensselaer, NY	145
Rensselaerville, NY	178
Rentchler, IL	
Renton, WA	392
Rentz, GA	141
Republic, MI	
Republic, MO	166
Republic, OH	
Republic, PA	127
Resaca, GA	
Reserve, LA	116
Reservoir, PA	
Rest Haven, GA	
Rest Haven, IL	
Reston, VA	354
Retreat, TX	
Retsof, NY	
Revere, MA	327
Revere, MO	
Revloc, PA	
Rew, PA	
Rewey, WI	
Rex, NC	
Rexburg, ID	153
Rexland Acres, CA	257
Reynolds Heights, PA	106
Reynolds, IL	
Reynoldsburg, OH	160
Rheems, PA	164
Rhinebeck, NY	221
Rhinecliff, NY	
Rhodes, IA	
Rhodes, MT	
Rhodhiss, NC	123
Rhododendron, OR	261
Rhome, TX	157
Rialto, CA	320
Rib Mountain, WI	144
Ribera, NM	
Ricardo, TX	
Rice Tracts, TX	
Rice, MN	254
Rice, TX	111
Riceboro, GA	
Riceville, MT	
Riceville, TN	184
Rich Creek, VA	
Rich Hill, MO	59
Rich Square, NC	35
Richardson, TX	224
Richboro, PA	237
Richburg, SC	92
Richfield Springs, NY	73
Richfield, CA	
Richfield, MN	209
Richfield, NC	
Richfield, NE	
Richfield, NY	74
Richfield, OH	210
Richfield, WI	184
Richford, NY	
Richford, VT	97
Richgrove, CA	
Richland Hills, TX	184
Richland, MI	246
Richland, MO	106
Richland, MS	132
Richland, NJ	75
Richland, NY	117
Richland, PA	208
Richland, TX	
Richland, WA	234
Richlands, NC	167
Richlands, VA	86
Richlandtown, PA	224
Richlawn, KY	156
Richmond Dale, OH	
Richmond Heights, FL	365
Richmond Heights, MO	244
Richmond Heights, OH	122
Richmond Hill, GA	165
Richmond West, FL	335
Richmond, CA	466
Richmond, IL	117
Richmond, IN	77
Richmond, KS	142
Richmond, KY	136
Richmond, MA	
Richmond, ME	32
Richmond, MI	158
Richmond, MN	280
Richmond, MO	82
Richmond, NY	151
Richmond, OH	120
Richmond, RI	227
Richmond, TX	163
Richmond, UT	186
Richmond, VA	216
Richmond, VT	
Richmondville, NY	179
Richton Park, IL	158
Richvale, CA	
Richville, MN	
Richville, NY	
Richville, OH	105
Richwood, LA	
Richwood, NJ	168
Richwood, OH	131
Richwood, TX	99
Rickardsville, IA	76
Rickreall, OR	621
Riddle, OR	
Ridge Farm, IL	45
Ridge Manor, FL	134
Ridge Wood Heights, FL	318
Ridge, NY	294
Ridgebury, CT	1,578
Ridgecrest Heights, CA	
Ridgecrest, CA	179
Ridgecrest, FL	
Ridgefield Park, NJ	306
Ridgefield, CT	304
Ridgefield, IL	187
Ridgefield, NJ	244
Ridgefield, WA	268
Ridgeland, MS	135
Ridgeland, SC	163
Ridgeland, WI	145
Ridgeley, WV	126
Ridgely, MO	
Ridgemark, CA	306
Ridgetop, TN	236
Ridgeville, SC	
Ridgeway, NY	100
Ridgeway, OH	
Ridgeway, VA	120
Ridgeway, WI	
Ridgewood, IL	70
Ridgewood, NJ	481
Ridgewood, OH	
Ridgway, CO	434
Ridgway, PA	
Ridley Park, PA	166
Ridott, IL	
Riegelsville, PA	110
Riesel, TX	
Rifle, CO	260
Rifton, NY	
Riga, NY	131
Rigby, ID	201
Riggston, IL	
Riley, IL	
Riley, IN	
Riley, KS	77
Rillito, AZ	
Rimini, MT	
Rincon Valley, AZ	211
Rincon, GA	157
Rincon, NM	
Riner, VA	159
Rineyville, KY	195
Ringgold, MD	
Ringoes, NJ	143
Ringtown, PA	93
Ringwood, IL	194
Ringwood, NJ	296
Rio Bravo, TX	329
Rio del Mar, CA	832
Rio Dell, CA	312
Rio en Medio, NM	
Rio Grande City, TX	119
Rio Grande, NJ	191
Rio Hondo, TX	
Rio Linda, CA	274
Rio Lucio, NM	
Rio Oso, CA	
Rio Pinar, FL	199
Rio Rico, AZ	163
Rio Verde, AZ	294
Rio Vista, CA	274
Rio Vista, TX	
Rio, FL	238
Rio, IL	
Rio, LA	
Rio, VA	
Rio, WI	246
Ripley, CA	
Ripley, NY	25
Ripley, OH	164
Ripley, OK	
Ripon, CA	350
Ripon, WI	129
Ripplemead, VA	
Ririe, ID	
Rising Sun-Lebanon, DE	180
Rising Sun, IN	137
Rising Sun, MD	187
Risingsun, OH	
Rison, AR	108
Ritchie, IL	
Rittman, OH	155
Ritzville, WA	129
Riva, MD	274
Rivanna, VA	208
River Bend, NC	148
River Bluff, KY	
River Bottom, OK	
River Edge, NJ	366
River Falls, WI	177
River Forest, IL	245
River Forest, IN	
River Grove, IL	184
River Heights, UT	
River Hills, WI	257
River Oaks, TX	189
River Park, FL	207
River Point, OR	
River Ridge, FL	204
River Ridge, LA	189
River Road, NC	143
River Road, OR	275
River Road, WA	
River Rouge, MI	58
River Sioux, IA	
Riverbank, CA	263
Riverbend, WA	484
Riverdale Park, CA	478
Riverdale Park, MD	253
Riverdale, CA	
Riverdale, GA	130
Riverdale, IA	134
Riverdale, IL	114
Riverdale, MI	
Riverdale, NE	
Riverdale, NJ	343
Riverdale, UT	224
Rivergrove, CA	
Rivergrove, OR	508
Riverhead, NY	329
Riverlea, OH	
Riverpoint, WA	543
Riverside, AL	177
Riverside, CA	356
Riverside, CT	518
Riverside, IA	108
Riverside, ID	
Riverside, IL	250
Riverside, MD	170
Riverside, MO	184
Riverside, NY	186
Riverside, OH	132
Riverside, OR	
Riverside, PA	176
Riverside, TX	
Riverside, UT	
Riverton, CT	
Riverton, IL	96
Riverton, MN	
Riverton, NJ	182
Riverton, UT	221
Riverton, WA	355
Riverview Estates, MO	
Riverview Park, PA	179
Riverview, AL	
Riverview, DE	201
Riverview, FL	194
Riverview, MI	146
Riverview, MO	29
Riverview, SC	
Riverview, VA	
Riverwood, KY	
Riverwoods, IL	149
Rives, TN	
Riviera Beach, FL	282
Riviera Beach, MD	223
Riviera, TX	
Roachdale, IN	77
Roachester, OH	213
Road Runner, TX	
Roadstown, NJ	
Roaming Shores, OH	123
Roan Mountain, TN	117
Roann, IN	
Roanoke Rapids, NC	145
Roanoke, IL	61
Roanoke, IN	160
Roanoke, LA	
Roanoke, TX	246
Roanoke, VA	126
Roaring Spring, PA	92
Robards, KY	
Robbins, CA	
Robbins, IL	
Robbins, NC	
Robbinsdale, MN	183
Robbinsville Center, NJ	302
Robbinsville, NJ	302
Roberdel, NC	139
Roberta, GA	
Roberts, ID	172
Roberts, MT	
Roberts, WI	180
Robertsdale, AL	159
Robertsville, NJ	224
Robertsville, OH	
Robeson Extension, PA	
Robesonia, PA	199
Robie Creek, ID	
Robin Glen-Indiantown, MI	
Robinhood, MS	185
Robins AFB, GA	
Robins, IA	138
Robinson Mill, CA	
Robinson, PA	
Robinson, TX	97
Robinwood, MD	142
Roca, NE	212
Rochelle, IL	131
Rocheport, MO	
Rochester Hills, MI	208
Rochester Institute of Technology, NY	
Rochester, IL	120
Rochester, KY	
Rochester, MA	307
Rochester, MI	212
Rochester, MN	160
Rochester, NH	221
Rochester, NY	236
Rochester, OH	
Rochester, PA	90
Rochester, VT	
Rochester, WA	289
Rochester, WI	201
Rock City, IL	
Rock Creek Park, CO	
Rock Creek, AL	112
Rock Creek, OH	
Rock Falls, IA	
Rock Falls, IL	88
Rock Falls, WI	
Rock Hill, LA	
Rock Hill, MO	181
Rock Hill, SC	193
Rock Island, IL	88
Rock Island, WA	294
Rock Point, MD	
Rock Ridge, CT	776
Rock Springs, WI	
Rock, KS	
Rock, MI	24
Rockaway Beach, MO	149
Rockaway, NJ	317
Rockbridge, OH	
Rockcreek, OR	356
Rockdale, IL	
Rockdale, WI	
Rockfield, IN	
Rockfish, NC	137
Rockford Bay, ID	
Rockford, AL	68
Rockford, ID	
Rockford, IL	88
Rockford, MI	229
Rockford, MN	189
Rockford, OH	102
Rockford, TN	
Rockford, WA	
Rockholds, KY	
Rockingham, NC	95
Rockland, ID	
Rockland, MA	308
Rockland, WI	248
Rockledge, FL	198
Rockledge, PA	263
Rockleigh, NJ	
Rocklin, CA	327
Rockmart, GA	165
Rockport, AR	
Rockport, MA	333
Rockport, TX	223
Rockport, WA	
Rockton, IL	117
Rockvale, CO	229
Rockvale, MT	
Rockvale, TN	219
Rockville Centre, NY	382
Rockville, CT	104
Rockville, IN	
Rockville, MD	311
Rockville, MN	215
Rockville, MO	
Rockville, SC	
Rockville, UT	
Rockwall, TX	203
Rockwell Place, TX	75
Rockwell, AR	238
Rockwell, IA	
Rockwell, NC	189
Rockwood, MI	159
Rockwood, PA	86
Rockwood, TN	138
Rockwood, VA	202
Rocky Ford, OK	
Rocky Gap, VA	
Rocky Hill, NJ	312
Rocky Mound, TX	
Rocky Mount, NC	122
Rocky Mount, VA	130
Rocky Point, NC	
Rocky Point, NY	253
Rocky Point, OK	64
Rocky Point, OR	
Rocky Point, WA	230
Rocky Ridge, OH	
Rocky Ripple, IN	185
Rocky River, OH	196
Rocky Top, TN	135
Rodanthe, NC	391
Rodeo, CA	
Rodey, NM	
Rodman, NY	
Rodney Village, DE	
Roebling, NJ	194
Roebuck, SC	122
Roeland Park, KS	204
Roessleville, NY	191
Roeville, FL	
Roff, OK	11
Rogers, AR	186
Rogers, MN	199
Rogers, OH	
Rogers, TX	104
Rogersville, AL	161
Rogersville, MO	178
Rogersville, TN	132
Rogue River, OR	271
Rohnert Park, CA	419
Rohrersville, MD	
Rohrsburg, PA	
Roland, AR	
Roland, IA	189
Roland, OK	111
Rolesville, NC	206
Rolla, MO	105
Rolling Fields, KY	310
Rolling Hills Estates, CA	811
Rolling Hills, CA	1,258
Rolling Hills, KY	
Rolling Meadows, IL	187
Rolling Prairie, IN	
Rollingstone, MN	
Rollingwood, CA	
Rollingwood, TX	866
Rollinsville, CO	
Roma Creek, TX	
Roma, TX	
Roman Forest, TX	162
Romancoke, MD	266
Rome City, IN	
Rome, GA	140
Rome, IL	73
Rome, NY	107
Rome, PA	
Rome, WI	121
Romeo, MI	180
Romeoville, IL	180
Romney, IN	
Romney, WV	109
Romoland, CA	372
Romulus, MI	114
Romulus, NY	
Ronald, WA	362
Ronco, PA	
Ronda, NC	
Ronkonkoma, NY	323
Ronks, PA	73
Ronneby, MN	
Roopville, GA	
Roosevelt Estates, AZ	
Roosevelt Gardens, FL	223
Roosevelt Park, MI	163
Roosevelt, NJ	
Roosevelt, NY	334
Root, NY	242
Roots, PA	
Ropesville, TX	
Rosa, AL	
Rosalia, KS	
Rosalia, WA	
Rosamond, CA	244
Rosanky, TX	205
Rosaryville, MD	201
Roscoe, IL	123
Roscoe, MN	110
Roscoe, MT	
Roscoe, PA	
Roscoe, SD	
Roscoe, TX	
Rose Bud, AR	
Rose City, TX	180
Rose Creek, MN	84
Rose Hill Acres, TX	
Rose Hill, IA	
Rose Hill, KS	106
Rose Hill, VA	362
Rose Hills, CA	448
Rose Lodge, OR	329
Rose Valley, PA	238
Rose, NY	51
Roseboom, NY	
Rosebud, TX	
Roseburg North, OR	214
Roseburg, OR	172
Rosebush, MI	99
Rosedale, CA	246
Rosedale, IN	
Rosedale, LA	
Rosedale, MD	173
Rosedale, NM	
Rosedale, OK	
Rosedale, WA	416
Roseland, CA	434
Roseland, FL	399
Roseland, IN	201
Roseland, LA	115
Roseland, NE	
Roseland, NJ	285
Roseland, OH	159
Roselawn, IN	131
Roselle Park, NJ	308
Roselle, IL	198
Roselle, NJ	321
Rosemead, CA	557
Rosemont, CA	316
Rosemont, IL	
Rosemont, MD	
Rosemont, PA	293
Rosemount, MN	192
Rosemount, OH	
Rosenberg, TX	146
Rosendale Hamlet, NY	314
Rosendale, MO	
Rosendale, NY	230
Rosendale, WI	
Rosenhayn, NJ	116
Rosepine, LA	
Roseto, PA	106
Roseville, CA	327
Roseville, MI	143
Roseville, MN	196
Roseville, OH	115
Rosewood Heights, IL	110
Rosewood, OH	
Rosharon, TX	137
Rosholt, WI	70
Rosita, TX	
Roslyn Estates, NY	
Roslyn Harbor, NY	
Roslyn Heights, NY	533
Roslyn, NY	507
Roslyn, PA	235
Roslyn, WA	
Rosman, NC	161
Ross Corner, NJ	
Ross, CA	
Ross, OH	
Rossburg, OH	
Rosser, TX	
Rossford, OH	128
Rossie, IA	
Rossie, NY	
Rossiter, PA	
Rosslyn Farms, PA	
Rossmoor, CA	803
Rossmoor, MD	209
Rossmoor, NJ	197
Rossmoyne, OH	195
Rossville, IL	58
Rossville, IN	
Rossville, KS	
Rossville, MD	186
Rossville, TN	183
Roswell, GA	226
Roswell, NM	130
Roswell, OH	
Rote, PA	
Rothsay, MN	
Rothschild, WI	109
Rothsville, PA	153
Rotonda, FL	251
Rotterdam, NY	159
Rougemont, NC	181
Rough & Ready, CA	
Round Hill Village, NV	663
Round Hill, VA	253
Round Lake Beach, IL	148
Round Lake Heights, IL	160
Round Lake Park, IL	100
Round Lake, IL	148
Round Lake, MN	
Round Lake, NY	337
Round Mountain, CA	
Round Rock, TX	226
Round Valley, AZ	
Rouse, CA	299
Rouses Point, NY	74
Rouseville, PA	
Route 7 Gateway, CT	420
Rouzerville, PA	
Rover, AR	
Rowe, MA	
Rowe, NM	
Rowena, OR	
Rowena, SD	
Rowes Run, PA	
Rowesville, SC	
Rowland Heights, CA	475
Rowland, NC	
Rowlett, TX	189
Rowley, MA	
Roxana, IL	72
Roxboro, NC	165
Roxborough Park, CO	273
Roxbury, KS	
Roxton, TX	
Roy, UT	213
Roy, WA	238
Royal Center, IN	
Royal City, WA	201
Royal Hawaiian Estates, HI	
Royal Kunia, HI	624
Royal Lakes, IL	
Royal Oak, MI	267
Royal Palm Beach, FL	228
Royal Palm Estates, FL	
Royal Pines, NC	242
Royal, IA	
Royal, IL	
Royalston, MA	297
Royalton, NY	113
Royalton, PA	
Royer, PA	
Royersford, PA	184
Royse City, TX	177
Rubicon, WI	
Rubidoux, CA	380
Ruby, MI	
Ruby, NY	
Ruch, OR	
Ruckersville, VA	222
Rudolph, OH	
Rudolph, WI	
Rudy, AR	
Ruffin, NC	133
Ruhenstroth, NV	301
Ruidoso Downs, NM	222
Ruidoso, NM	236
Ruleville, MS	77
Rumsey, CA	
Rumson, NJ	607
Runaway Bay, TX	149
Runnells, IA	
Runnemede, NJ	178
Running Springs, CA	296
Running Y Ranch, OR	225
Runville, PA	
Rupert, ID	225
Rupert, PA	
Rural Hall, NC	171
Rural Hill, TN	198
Rural Valley, PA	
Rush City, MN	182
Rush Hill, MO	
Rush Springs, OK	
Rush Valley, UT	
Rush, NY	158
Rushford Village, MN	
Rushford, MN	136
Rushmere, VA	191
Rushmore, MN	91
Rushsylvania, OH	111
Rushville, MO	
Rushville, NY	
Rushville, OH	224
Rusk, TX	127
Ruskin, FL	196
Russell Gardens, NY	
Russell, AR	
Russell, GA	232
Russell, KY	100
Russell, MA	234
Russell, MN	83
Russell, NY	
Russell, PA	
Russells Point, OH	257
Russellton, PA	173
Russellville, AR	111
Russellville, IN	
Russellville, MO	153
Russellville, OH	
Russellville, SC	104
Russellville, TN	
Russia, NY	
Russia, OH	
Russiaville, IN	144
Rustburg, VA	
Ruston, LA	152
Ruston, WA	479
Ruth, NC	
Rutherford College, NC	154
Rutherford, CA	
Rutherford, NJ	367
Rutherford, PA	132
Rutherford, TN	150
Rutherfordton, NC	160
Rutland, IL	
Rutland, MA	277
Rutland, NY	87
Rutland, VT	123
Rutledge, GA	174
Rutledge, PA	186
Rutledge, TN	240
Ryderwood, WA	132
Rye Brook, NY	415
Rye, AZ	
Rye, CO	
Rye, NY	524
Ryland Heights, KY	
Sabattus, ME	226
Sabillasville, MD	
Sabina, OH	134
Sabinal, TX	
Sachse, TX	200
Sackets Harbor, NY	172
Saco, ME	271
Sacramento, CA	318
Sacramento, KY	
Saddle Brook Township, NJ	361
Saddle Ridge, CO	
Saddle River, NJ	496
Saddle Rock Estates, NY	417
Saddle Rock, NY	
Saddlebrooke, AZ	262
Saddlebrooke, MO	186
Sadieville, KY	
Sadler, TX	288
Sadorus, IL	
Sadsburyville, PA	154
Saegertown, PA	
Safety Harbor, FL	296
Safford, AZ	126
Sag Harbor, NY	
Sagamore, MA	372
Sagaponack, NY	791
Sagar, NM	72
Sageville, IA	
Saginaw, MI	71
Saginaw, MO	
Saginaw, TX	174
Sahuarita, AZ	196
