City,State,County,Population,People per sq mi,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home square feet,Median home cost per sq ft,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Metro,Timezone,Elevation (ft),UV Index,Home Ownership Rate,Single Population,Walk Score,Transit Score,Bike Score,Poverty Rate, % of income spent on housing costs (owners),Foreign Born %,Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year
Athens township,Michigan,Calhoun County,2522,70,83,31,52,36,140,169,53,N/A,N/A,N/A,11,24,41,N/A,$53750,N/A,$104000,N/A,N/A,51,8%,37%,17%,81,27 mins,5.20%,0.10%,-2.20%,41.00%,53.50%,N/A,N/A,N/A,2.00%,Battle Creek,Eastern Standard Time,830,3.2,74.00%,40.60%,0,N/A,22,N/A,N/A,N/A,0.00,7,1
Atlanta,Michigan,Montmorency County,779,237,80,26,54,30,130,171,105,54.6,35.2,7,16,34,55,11.97%,$30500,$550,$77000,N/A,N/A,45,7%,31%,15%,80,29 mins,7.80%,0.50%,-7.90%,25.60%,69.50%,N/A,N/A,96.44%,N/A,None,N/A,N/A,3.3,56.70%,59.50%,31,N/A,N/A,8.1%,16.6%,0.9%,297.03,4,1
Atlas,Michigan,Genesee County,7806,222,82,30,52,33,123,171,38,N/A,N/A,8,9,17,45,38.71%,$80507,$1179,$227800,N/A,N/A,33,7%,49%,30%,78,33 mins,6.10%,0.40%,-1.80%,52.00%,42.60%,N/A,1.05%,97.81%,1.30%,Flint,Eastern Standard Time,771,3.3,93.10%,31.80%,7,N/A,20,N/A,N/A,N/A,N/A,N/A,2
Attica,Michigan,Lapeer County,566,119,82,30,52,33,116,172,35,57.5,38.7,9,11,24,47,11.75%,$39609,$726,$179100,N/A,N/A,44,3%,34%,26%,82,34 mins,6.10%,0.10%,-45.10%,28.20%,66.50%,N/A,N/A,96.59%,N/A,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,62.70%,37.90%,25,N/A,26,17.2%,14.0%,0%,458.38,7,2
Attica township,Michigan,Lapeer County,4742,135,82,30,52,33,116,172,35,N/A,N/A,N/A,10,20,43,N/A,$53529,N/A,$173600,N/A,N/A,40,7%,36%,26%,82,37 mins,6.10%,0.10%,-1.90%,28.20%,66.50%,N/A,N/A,N/A,3.80%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,73.90%,38.80%,0,N/A,23,N/A,N/A,N/A,0.00,7,2
Au Gres,Michigan,Arenac County,813,357,81,30,51,32,120,165,48,56.1,37.1,10,6,10,57,11.88%,$25104,$344,$101500,N/A,N/A,38,7%,24%,19%,88,28 mins,6.70%,0.30%,-9.90%,30.80%,64.00%,N/A,1.24%,91.46%,N/A,None,N/A,N/A,3.4,41.60%,48.60%,32,N/A,45,10.8%,18.8%,3.1%,140.35,6,1
Au Sable,Michigan,Iosco County,1320,629,79,29,50,31,120,172,57,55.7,36.4,9,14,30,46,15.11%,$38550,$744,$67200,N/A,N/A,51,4%,27%,10%,85,22 mins,6.50%,1.00%,19.80%,32.40%,62.10%,2.12%,2.17%,92.24%,N/A,None,N/A,N/A,3.4,69.50%,53.20%,35,N/A,39,12.1%,14.6%,1.7%,0.00,4,0
Auburn,Michigan,Bay County,1934,1831,82,29,53,32,124,169,41,57.2,38.5,8,5,18,43,26.31%,$58625,$648,$118600,N/A,N/A,51,5%,23%,8%,80,21 mins,5.50%,0.30%,-11.40%,40.60%,53.20%,N/A,N/A,98.44%,3.50%,Bay City,Eastern Standard Time,595,3.3,61.30%,54.80%,54,N/A,45,2.4%,16.2%,1.5%,77.95,4,1
Auburn Hills,Michigan,Oakland County,22644,1362,82,30,52,32,122,178,34,57.7,39,8,18,44,30,45.37%,$52949,$1117,$169700,N/A,N/A,32,5%,40%,29%,69,22 mins,4.10%,0.30%,7.00%,51.30%,43.20%,17.36%,16.90%,60.68%,5.20%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,40.90%,62.20%,27,N/A,46,4.7%,17.4%,22%,23.25,7,2
Augusta,Michigan,Kalamazoo County,902,878,84,32,52,36,140,162,56,58.5,39.7,8,9,17,37,28.30%,$42411,$1300,$182500,N/A,N/A,61,7%,22%,21%,80,21 mins,4.40%,1.00%,1.60%,53.20%,40.40%,N/A,5.41%,86.28%,4.50%,Kalamazoo-Portage,Eastern Standard Time,803,3.4,63.80%,50.40%,35,N/A,43,16%,19.2%,2%,138.89,7,2
Augusta charter township,Michigan,Washtenaw County,6994,191,83,31,52,34,137,179,44,N/A,N/A,N/A,9,18,40,N/A,$70875,N/A,$210500,N/A,N/A,29,9%,43%,50%,76,30 mins,4.20%,1.30%,8.50%,67.60%,26.60%,N/A,N/A,N/A,2.50%,Ann Arbor,Eastern Standard Time,664,3.3,87.70%,40.10%,0,N/A,25,N/A,N/A,N/A,0.00,5,2
Aurelius,Michigan,Ingham County,4241,116,82,31,51,34,131,175,44,N/A,N/A,N/A,9,17,40,29.19%,$81563,$1025,$206800,N/A,N/A,31,6%,36%,19%,80,26 mins,4.90%,1.30%,20.90%,59.90%,33.20%,3.02%,1.31%,94.54%,2.20%,Lansing-East Lansing,Eastern Standard Time,841,3.2,91.20%,33.70%,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Austin township (Mecosta Cnty),Michigan,Mecosta County,1903,53,82,29,53,36,125,162,59,N/A,N/A,N/A,11,24,35,N/A,$47097,N/A,$112100,N/A,N/A,30,10%,34%,20%,87,26 mins,5.80%,0.20%,15.50%,33.80%,59.70%,N/A,N/A,N/A,1.40%,Big Rapids,N/A,N/A,3.3,66.90%,40.00%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Bad Axe,Michigan,Huron County,3000,1354,80,28,52,33,137,169,44,57.4,38.3,10,16,37,44,13.59%,$30675,$609,$102700,N/A,N/A,57,5%,31%,15%,84,21 mins,5.30%,-0.70%,-5.70%,28.70%,67.10%,1.97%,N/A,94.23%,2.00%,None,N/A,N/A,3.4,51.30%,51.60%,45,N/A,57,8.1%,17.2%,3.5%,115.13,7,0
Bainbridge,Michigan,Berrien County,2818,81,83,33,50,38,129,173,79,N/A,N/A,N/A,12,25,45,16.14%,$60026,$858,$161400,N/A,N/A,46,10%,31%,16%,83,22 mins,5.00%,0.10%,-2.50%,40.90%,53.70%,N/A,N/A,90.58%,9.70%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,72.80%,45.80%,1,N/A,24,N/A,N/A,N/A,N/A,N/A,1
Baldwin,Michigan,Lake County,1310,1036,82,30,52,35,126,164,71,56.1,37,8,19,42,38,3.52%,$14651,$526,$59800,N/A,N/A,39,7%,30%,15%,86,27 mins,7.40%,1.10%,-11.70%,36.20%,59.00%,N/A,30.98%,59.53%,3.40%,None,N/A,N/A,3.4,21.40%,71.80%,46,N/A,52,45.6%,23.9%,2.1%,387.65,2,1
Baldwin township (Delta Cnty),Michigan,Delta County,682,8,77,25,52,31,129,186,77,N/A,N/A,N/A,11,25,51,N/A,$45703,N/A,$99800,N/A,N/A,43,7%,37%,21%,92,19 mins,5.90%,0.10%,-8.00%,34.60%,59.80%,N/A,N/A,N/A,2.80%,Escanaba,N/A,N/A,3.1,45.70%,35.20%,5,N/A,28,N/A,N/A,N/A,N/A,N/A,0
Baltimore,Michigan,Barry County,2030,57,83,31,52,37,133,160,62,N/A,N/A,N/A,11,25,42,16.08%,$49643,$723,$134100,N/A,N/A,45,11%,49%,38%,82,32 mins,4.10%,1.90%,18.30%,29.90%,62.90%,N/A,N/A,96.74%,N/A,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,78.90%,41.20%,64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Bangor,Michigan,Van Buren County,1896,1069,82,33,49,38,131,167,83,58.1,39.5,9,27,40,30,17.17%,$32244,$643,$96300,N/A,N/A,53,9%,29%,26%,84,24 mins,5.30%,0.40%,-8.80%,39.80%,53.80%,N/A,2.07%,93.22%,20.70%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,55.80%,59.00%,62,N/A,54,15%,19.4%,7.1%,180.03,7,1
Bangor charter township,Michigan,Bay County,14248,1010,82,29,53,32,118,170,41,N/A,N/A,N/A,21,33,43,N/A,$44636,N/A,$104800,N/A,N/A,48,6%,21%,9%,73,21 mins,5.50%,0.30%,-3.80%,40.60%,53.20%,N/A,N/A,N/A,2.10%,Bay City,Eastern Standard Time,595,3.3,67.50%,50.00%,16,N/A,48,N/A,N/A,N/A,0.00,5,1
Bangor township,Michigan,Van Buren County,2160,64,82,33,49,38,131,168,83,N/A,N/A,N/A,13,29,42,N/A,$39213,N/A,$117400,N/A,N/A,41,9%,31%,25%,84,23 mins,5.30%,0.40%,11.50%,39.80%,53.80%,N/A,N/A,N/A,12.60%,Kalamazoo-Portage,Eastern Standard Time,803,3.6,59.10%,44.80%,16,N/A,48,N/A,N/A,N/A,0.00,7,1
Baraga,Michigan,Baraga County,2575,1211,77,22,55,34,153,190,204,52.7,32.1,8,9,22,33,12.06%,$29028,$493,$94900,N/A,N/A,49,7%,30%,15%,93,19 mins,7.00%,0.10%,8.70%,32.90%,61.30%,N/A,19.78%,58.54%,1.80%,None,N/A,N/A,3.1,46.70%,79.70%,17,N/A,30,18.2%,16.5%,1.7%,46.40,0,0
Bark River,Michigan,Delta County,1639,36,77,26,51,29,123,186,54,N/A,N/A,9,10,22,40,20.54%,$51696,$713,$95600,N/A,N/A,43,7%,37%,20%,90,19 mins,5.90%,0.10%,-0.20%,34.60%,59.80%,N/A,N/A,93.51%,1.50%,Escanaba,N/A,N/A,3.1,67.60%,31.40%,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
Barnes Lake-Millers Lake,Michigan,Lapeer County,1005,329,82,30,52,33,118,169,35,57.5,38.7,N/A,10,23,53,N/A,$41094,N/A,$141800,N/A,N/A,47,7%,37%,26%,84,34 mins,6.10%,0.10%,-7.00%,28.20%,66.50%,N/A,N/A,94.05%,1.40%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,67.10%,31.30%,0,N/A,22,0%,17.5%,0%,0.00,6,2
Baroda,Michigan,Berrien County,817,1139,83,33,50,38,136,170,76,59.5,40.4,9,13,29,45,22.58%,$39063,$865,$85100,N/A,N/A,36,10%,31%,17%,84,17 mins,5.00%,0.10%,-4.90%,40.90%,53.70%,N/A,N/A,96.63%,2.00%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,73.80%,53.50%,27,N/A,41,5.3%,19.2%,3.4%,44.49,7,1
Baroda township,Michigan,Berrien County,2756,155,83,33,50,38,136,173,76,N/A,N/A,N/A,16,20,45,N/A,$49792,N/A,$166600,N/A,N/A,43,10%,30%,16%,84,20 mins,5.00%,0.10%,-1.80%,40.90%,53.70%,N/A,N/A,N/A,5.40%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,77.40%,41.70%,0,N/A,25,N/A,N/A,N/A,0.00,6,1
Barry,Michigan,Barry County,3406,99,83,32,51,37,140,160,57,N/A,N/A,N/A,9,13,47,22.76%,$47821,$347,$189100,N/A,N/A,49,11%,46%,39%,82,33 mins,4.10%,1.90%,-1.10%,29.90%,62.90%,N/A,N/A,96.85%,N/A,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,78.90%,34.80%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Barryton,Michigan,Mecosta County,445,465,82,29,53,35,125,162,58,56,37.1,8,5,20,41,10.73%,$23958,$621,$67700,N/A,N/A,63,9%,33%,19%,88,23 mins,5.80%,0.20%,26.40%,33.80%,59.70%,1.26%,N/A,93.72%,N/A,Big Rapids,N/A,N/A,3.3,49.30%,68.10%,31,N/A,36,26.9%,19.6%,1.1%,934.58,3,1
Barton Hills,Michigan,Washtenaw County,294,387,83,31,52,36,137,177,43,58.2,39.3,8,7,15,54,N/A,$250001,N/A,$975000,3027,$322,59,9%,41%,50%,67,23 mins,4.20%,1.30%,4.60%,67.60%,26.60%,4.68%,2.92%,85.67%,1.70%,Ann Arbor,Eastern Standard Time,664,3.3,84.50%,32.20%,0,N/A,6,0%,17.2%,12.2%,0.00,5,2
Batavia,Michigan,Branch County,1410,39,82,30,52,38,135,176,45,N/A,N/A,N/A,14,30,44,9.53%,$40655,$804,$103600,N/A,N/A,51,11%,30%,18%,83,22 mins,5.10%,0.50%,-1.60%,28.70%,66.70%,N/A,2.27%,93.12%,N/A,Coldwater,N/A,N/A,3.4,64.80%,45.50%,0,N/A,31,N/A,N/A,N/A,N/A,N/A,1
Bath,Michigan,Clinton County,2022,352,82,30,52,32,128,175,44,57.7,39,8,10,22,39,43.77%,$67642,$1004,$213400,N/A,N/A,33,5%,39%,32%,80,23 mins,3.80%,1.10%,-11.10%,40.30%,52.90%,3.48%,2.60%,89.16%,4.30%,Lansing-East Lansing,Eastern Standard Time,841,3.2,84.20%,41.70%,20,N/A,N/A,1.9%,18.6%,4.4%,26.86,6,2
Bath charter township,Michigan,Clinton County,12339,387,82,30,52,33,129,175,45,N/A,N/A,N/A,13,20,35,N/A,$60188,N/A,$176300,N/A,N/A,21,7%,37%,23%,77,20 mins,3.80%,1.10%,12.40%,40.30%,52.90%,N/A,N/A,N/A,4.40%,Lansing-East Lansing,Eastern Standard Time,841,3.2,61.40%,52.20%,26,N/A,27,N/A,N/A,N/A,0.00,6,2
Battle Creek,Michigan,Calhoun County,51505,1209,84,32,52,36,135,166,53,58.4,39.5,8,44,53,36,21.85%,$37885,$754,$80200,N/A,N/A,61,9%,43%,18%,65,18 mins,6.20%,0.10%,-2.40%,41.00%,53.50%,3.56%,17.84%,70.01%,6.50%,Battle Creek,Eastern Standard Time,830,3.2,51.90%,58.50%,37,N/A,42,17.9%,16.9%,5.4%,92.88,N/A,1
Bay City,Michigan,Bay County,33736,3319,82,29,53,32,118,170,41,57.4,38.7,9,33,42,37,16.17%,$36179,$634,$59200,N/A,N/A,74,6%,23%,8%,65,19 mins,7.10%,0.30%,-4.30%,40.60%,53.20%,N/A,3.25%,91.76%,8.90%,Bay City,Eastern Standard Time,595,3.3,60.40%,59.80%,51,N/A,59,19.1%,18.5%,1.8%,117.87,N/A,1
Bay de Noc,Michigan,Delta County,320,5,77,26,51,30,128,186,78,N/A,N/A,N/A,11,24,61,N/A,$38393,N/A,$147400,N/A,N/A,47,7%,37%,20%,92,19 mins,5.90%,0.10%,-15.30%,34.60%,59.80%,N/A,N/A,98.82%,N/A,Escanaba,N/A,N/A,3.1,33.20%,29.20%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Bay Mills,Michigan,Chippewa County,1766,27,77,24,53,33,156,156,107,N/A,N/A,N/A,15,32,39,23.15%,$45368,$480,$96600,N/A,N/A,26,6%,27%,17%,95,14 mins,6.50%,1.00%,10.20%,34.60%,58.70%,2.57%,1.09%,40.10%,2.60%,Sault Ste. Marie,N/A,N/A,3.2,39.50%,57.10%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,0
Bay Port,Michigan,Huron County,397,119,80,29,51,32,134,171,43,57.1,38,10,14,31,56,17.35%,$35417,$593,$70200,N/A,N/A,65,5%,31%,16%,89,21 mins,5.30%,-0.70%,-40.10%,28.70%,67.10%,2.12%,N/A,96.92%,1.50%,None,N/A,N/A,3.4,58.90%,58.60%,8,N/A,27,7.6%,20.6%,0%,93.11,N/A,0
Bay Shore,Michigan,Charlevoix County,847,544,79,28,51,33,155,163,117,55.1,35.8,9,12,27,42,N/A,$34750,N/A,$102600,N/A,N/A,34,9%,23%,9%,89,20 mins,4.20%,0.80%,12.30%,35.10%,59.20%,N/A,N/A,93.60%,N/A,None,N/A,N/A,3.1,71.00%,51.30%,10,N/A,54,8.1%,20.4%,1.6%,N/A,N/A,0
Bay View,Michigan,Emmet County,315,498,78,28,50,33,153,159,111,55.1,35.6,8,9,20,69,N/A,$70625,N/A,$225200,N/A,N/A,78,9%,32%,18%,82,19 mins,4.60%,0.70%,218.20%,36.70%,55.90%,N/A,N/A,100.00%,N/A,None,N/A,N/A,3.2,21.10%,16.20%,27,N/A,73,11.4%,11.9%,0%,0.00,N/A,0
Beal City,Michigan,Isabella County,408,102,82,29,53,33,111,165,46,56.9,38.1,N/A,10,22,28,N/A,$52917,N/A,$131400,N/A,N/A,65,7%,32%,16%,86,17 mins,5.20%,0.40%,17.90%,44.70%,48.30%,N/A,N/A,100.00%,N/A,Mount Pleasant,N/A,N/A,3.3,73.30%,46.20%,18,N/A,39,0%,15.7%,0%,30.12,N/A,1
Bear Lake,Michigan,Manistee County,205,649,80,30,50,36,138,161,112,55.8,36.6,7,18,39,40,16.25%,$33646,$694,$94100,N/A,N/A,67,6%,31%,15%,90,20 mins,5.70%,0.30%,-38.60%,39.30%,54.60%,N/A,N/A,98.07%,N/A,None,N/A,N/A,3.1,39.90%,67.10%,37,N/A,29,25.7%,21.3%,1.1%,668.90,N/A,0
Bear Lake CDP,Michigan,Kalkaska County,422,73,79,26,53,34,154,165,100,N/A,N/A,N/A,13,29,57,N/A,$38750,N/A,$120100,N/A,N/A,42,7%,33%,23%,88,28 mins,5.50%,1.60%,5.50%,25.80%,69.20%,N/A,N/A,N/A,1.90%,Traverse City,N/A,N/A,3.3,26.60%,38.60%,6,N/A,5,N/A,N/A,N/A,N/A,N/A,1
Bear Lake township (Kalkaska Cnty),Michigan,Kalkaska County,670,9,80,27,53,34,153,165,92,N/A,N/A,N/A,13,28,58,N/A,$37813,N/A,$125400,N/A,N/A,40,7%,33%,24%,88,22 mins,5.50%,1.60%,-0.20%,25.80%,69.20%,N/A,N/A,N/A,1.20%,Traverse City,N/A,N/A,3.3,24.80%,37.30%,0,N/A,19,N/A,N/A,N/A,N/A,N/A,1
Beaver township (Bay Cnty),Michigan,Bay County,2822,80,82,29,53,32,124,170,41,N/A,N/A,N/A,10,21,40,N/A,$52539,N/A,$117100,N/A,N/A,44,6%,23%,7%,83,26 mins,5.50%,0.30%,-2.20%,40.60%,53.20%,N/A,N/A,N/A,2.50%,Bay City,Eastern Standard Time,595,3.3,87.80%,40.00%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
Beaverton,Michigan,Gladwin County,1199,1170,83,29,54,31,111,167,42,56.7,37.7,8,23,22,39,9.39%,$26563,$584,$84300,N/A,N/A,39,5%,34%,17%,86,21 mins,6.50%,1.00%,14.20%,30.30%,64.80%,N/A,N/A,95.22%,4.30%,None,N/A,N/A,3.2,38.50%,63.70%,38,N/A,43,27.6%,18.4%,0%,665.40,N/A,1
Bedford,Michigan,Monroe County,30992,791,84,32,52,35,123,180,35,N/A,N/A,8,27,48,45,14.04%,$63114,$895,$164200,N/A,N/A,40,6%,47%,27%,73,23 mins,4.80%,0.90%,-0.30%,36.00%,57.90%,N/A,8.78%,87.45%,2.80%,Monroe,Central Standard Time,593,3.6,81.80%,41.80%,21,N/A,30,N/A,N/A,N/A,N/A,N/A,1
Bedford charter township,Michigan,Calhoun County,9464,325,84,32,52,36,139,169,57,N/A,N/A,N/A,12,24,45,N/A,$49020,N/A,$105800,N/A,N/A,54,8%,38%,17%,75,21 mins,5.20%,0.10%,0.20%,41.00%,53.50%,N/A,N/A,N/A,2.20%,Battle Creek,Eastern Standard Time,830,3.2,81.50%,49.80%,21,N/A,30,N/A,N/A,N/A,0.00,N/A,1
Beecher,Michigan,Genesee County,9490,1613,82,30,52,32,120,169,36,57.7,38.9,N/A,19,37,31,8.07%,$22833,$732,$41900,N/A,N/A,57,7%,49%,31%,66,21 mins,6.10%,0.40%,-19.90%,52.00%,42.60%,N/A,57.50%,29.58%,2.10%,Flint,Eastern Standard Time,771,3.3,41.90%,71.20%,37,N/A,52,34.5%,20.5%,1.8%,0.00,N/A,2
Beechwood,Michigan,Ottawa County,3185,1758,82,32,50,37,120,162,80,58.6,39.6,7,15,28,36,30.15%,$49955,$894,$184500,N/A,N/A,49,9%,47%,44%,72,20 mins,3.70%,1.90%,-3.80%,31.30%,61.50%,N/A,1.58%,93.89%,32.50%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.2,74.50%,53.90%,37,N/A,67,25%,17.8%,8.7%,0.00,N/A,1
Belding,Michigan,Ionia County,5730,1213,83,30,53,35,123,169,64,57.6,38.8,9,13,28,33,11.79%,$38456,$692,$124100,N/A,N/A,61,10%,39%,28%,76,30 mins,5.00%,1.30%,-2.30%,30.90%,61.50%,N/A,N/A,95.94%,3.10%,Ionia,N/A,N/A,3.4,55.70%,54.80%,64,N/A,68,14.7%,18.5%,0.5%,90.00,N/A,1
Bellaire,Michigan,Antrim County,901,482,80,29,51,31,141,165,112,55.4,35.9,8,7,14,43,29.78%,$41667,$640,$160400,N/A,N/A,54,8%,34%,18%,85,16 mins,4.90%,1.90%,-11.10%,32.50%,62.00%,N/A,N/A,97.24%,1.40%,None,N/A,N/A,3.1,57.10%,47.50%,40,N/A,N/A,13.8%,18.9%,2%,136.27,N/A,1
Belleville,Michigan,Wayne County,3880,3428,83,31,52,34,138,183,43,58.9,40.1,9,18,31,39,33.84%,$46250,$791,$183200,N/A,N/A,44,8%,46%,27%,63,26 mins,6.50%,0.70%,-3.00%,66.40%,29.30%,N/A,16.02%,79.35%,2.60%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.3,60.20%,52.40%,65,N/A,N/A,3.5%,22.4%,1.5%,277.64,N/A,2
Bellevue,Michigan,Eaton County,1358,1335,83,32,51,37,139,174,57,58.1,39.4,8,8,8,37,15.91%,$41518,$704,$117300,N/A,N/A,76,10%,30%,17%,82,28 mins,4.60%,1.30%,11.90%,44.10%,48.80%,N/A,5.77%,88.01%,4.20%,Lansing-East Lansing,Eastern Standard Time,841,3.4,54.10%,54.80%,32,N/A,40,8.2%,16.3%,0.1%,382.38,7,1
Bellevue township,Michigan,Eaton County,3152,87,83,32,51,37,139,175,56,N/A,N/A,N/A,12,23,40,N/A,$48505,N/A,$115300,N/A,N/A,46,5%,32%,18%,82,30 mins,4.60%,1.30%,-1.00%,44.10%,48.80%,N/A,N/A,N/A,3.80%,Lansing-East Lansing,Eastern Standard Time,841,3.4,74.50%,43.60%,0,N/A,23,N/A,N/A,N/A,0.00,N/A,1
Belvidere,Michigan,Montcalm County,2070,60,82,29,53,35,118,164,61,N/A,N/A,N/A,13,29,48,9.86%,$37500,$628,$85900,N/A,N/A,52,12%,49%,42%,86,37 mins,5.30%,1.80%,-14.50%,29.40%,63.20%,N/A,N/A,93.99%,1.00%,Grand Rapids-Wyoming,Eastern Standard Time,803,3.3,53.00%,45.40%,0,N/A,29,N/A,N/A,N/A,N/A,N/A,1
Bendon,Michigan,Benzie County,192,96,80,28,52,33,143,164,119,55.8,36.7,N/A,12,27,50,N/A,$26205,N/A,$188500,N/A,N/A,31,10%,50%,37%,91,26 mins,4.80%,1.60%,9.70%,40.20%,54.20%,N/A,N/A,96.13%,N/A,Traverse City,N/A,N/A,3.3,54.40%,53.50%,0,N/A,19,0%,27.5%,0%,0.00,N/A,0
Bengal,Michigan,Clinton County,1290,35,82,30,52,33,129,175,43,N/A,N/A,N/A,9,19,40,N/A,$69375,N/A,$175800,N/A,N/A,50,7%,39%,23%,83,29 mins,3.80%,1.10%,7.90%,40.30%,52.90%,N/A,N/A,97.65%,8.60%,Lansing-East Lansing,Eastern Standard Time,841,3.2,90.60%,36.90%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,2
Bennington,Michigan,Shiawassee County,3078,87,82,30,52,33,120,172,36,N/A,N/A,N/A,10,18,47,30.53%,$61019,$1213,$178400,N/A,N/A,39,7%,30%,15%,82,36 mins,5.30%,0.80%,-2.90%,36.80%,56.40%,N/A,N/A,97.91%,2.20%,Owosso,N/A,N/A,3.2,86.30%,36.80%,1,N/A,25,N/A,N/A,N/A,N/A,N/A,2
Benton charter township,Michigan,Berrien County,14502,448,83,33,50,38,129,173,79,N/A,N/A,N/A,56,95,35,N/A,$26329,N/A,$93400,N/A,N/A,53,10%,30%,17%,75,18 mins,5.00%,0.10%,-3.00%,40.90%,53.70%,N/A,N/A,N/A,11.70%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,49.90%,60.70%,14,N/A,30,N/A,N/A,N/A,0.00,7,1
Benton Harbor,Michigan,Berrien County,9944,2270,83,33,50,38,129,175,79,59.5,40.4,9,95,68,32,8.13%,$19359,$644,$57700,N/A,N/A,64,10%,32%,16%,72,19 mins,5.00%,0.10%,-3.00%,40.90%,53.70%,N/A,84.72%,12.16%,4.20%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,31.20%,74.00%,61,N/A,49,40.7%,18.6%,2%,348.07,N/A,1
Benton Heights,Michigan,Berrien County,4343,1125,83,33,50,38,129,174,79,59.5,40.4,N/A,19,37,27,10.91%,$18777,$659,$84800,N/A,N/A,58,10%,30%,17%,74,19 mins,5.00%,0.10%,5.90%,40.90%,53.70%,N/A,61.93%,27.61%,20.00%,Niles-Benton Harbor,Eastern Standard Time,623,3.8,46.20%,71.40%,9,N/A,29,45%,20.6%,4.7%,0.00,7,1
Benton township (Eaton Cnty),Michigan,Eaton County,2814,84,82,30,52,35,132,175,43,N/A,N/A,N/A,10,22,47,N/A,$65663,N/A,$163100,N/A,N/A,39,5%,34%,18%,82,22 mins,4.60%,1.30%,0.80%,44.10%,48.80%,N/A,N/A,N/A,3.80%,Lansing-East Lansing,Eastern Standard Time,841,3.4,85.50%,40.50%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,2
Benzonia,Michigan,Benzie County,535,473,79,29,50,35,136,161,114,55.8,36.7,9,17,37,39,36.02%,$38750,$645,$119700,N/A,N/A,48,7%,42%,33%,92,26 mins,4.80%,1.60%,-4.80%,40.20%,54.20%,1.76%,N/A,89.58%,14.80%,Traverse City,N/A,N/A,3.3,51.40%,64.70%,39,N/A,30,8%,23.5%,1.2%,603.25,2,0
Benzonia township,Michigan,Benzie County,2705,97,79,29,50,35,137,164,116,N/A,N/A,N/A,13,28,51,N/A,$45726,N/A,$197500,N/A,N/A,49,10%,51%,38%,91,26 mins,4.80%,1.60%,-4.00%,40.20%,54.20%,N/A,N/A,N/A,3.50%,Traverse City,N/A,N/A,3.3,40.50%,48.90%,9,N/A,16,N/A,N/A,N/A,0.00,2,0
Berkley,Michigan,Oakland County,15269,5839,83,32,51,33,123,179,32,57.4,39.3,8,12,15,37,53.43%,$70625,$1115,$221300,N/A,N/A,67,5%,39%,41%,63,23 mins,4.10%,0.30%,1.40%,51.30%,43.20%,1.24%,3.16%,92.20%,3.00%,Detroit-Warren-Dearborn,Eastern Standard Time,664,3.2,78.20%,50.10%,66,N/A,53,2.7%,16.7%,4.2%,15.96,N/A,1
Berlin charter township,Michigan,Monroe County,9201,287,84,32,52,34,124,180,35,N/A,N/A,N/A,11,21,39,N/A,$71620,N/A,$159800,N/A,N/A,31,5%,47%,28%,74,26 mins,5.70%,0.90%,2.50%,36.00%,57.90%,N/A,N/A,N/A,6.80%,Monroe,Central Standard Time,593,3.6,77.80%,41.90%,4,N/A,25,N/A,N/A,N/A,0.00,N/A,1
Berlin township (Ionia Cnty),Michigan,Ionia County,2539,61,82,30,52,36,120,167,62,N/A,N/A,N/A,10,22,41,N/A,$56250,N/A,$155200,N/A,N/A,42,8%,38%,27%,82,27 mins,5.00%,1.30%,31.40%,30.90%,61.50%,N/A,N/A,N/A,2.70%,Ionia,N/A,N/A,3.4,82.90%,41.00%,0,N/A,25,N/A,N/A,N/A,N/A,N/A,1
