City ▾,State,County,Population,People per sq mi,August high (F),December high (F),Aug Hi Minus Dec Hi,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Average August humidity,Average December humidity,Average yearly humidity,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Median rent,Median home price,Median home age,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,,,,,,
Renton,Washington,King County,99692,"4,252",77,45,32,44,161,151,6,71%,85%,79%,4,19,74,35,36.50%,"$65,223.00 ","$1,543.00 ","$457,600.00 ",31,5%,49%,30%,34,30 mins,3.30%,2.60%,15.40%,69.80%,21.00%,24.13%,9.43%,50.08%,13.70%,,,,,,
Reston,Virginia,Fairfax County,60352,"3,938",84,45,39,43,118,197,22,72%,76%,73%,6,19,43,39,68.79%,"$110,321.00 ","$1,859.00 ","$451,600.00 ",36,2%,9%,10%,45,28 mins,2.30%,2.00%,13.30%,64.40%,28.60%,10.50%,10.38%,72.07%,12.00%,,,,,,
Revere,Massachusetts,Suffolk County,53864,"9,443",80,41,39,47,127,198,47,78%,75%,76%,10,28,31,39,22.90%,"$50,900.00 ","$1,419.00 ","$399,600.00 ",60,6%,47%,39%,49,32 mins,2.90%,4.30%,7.70%,78.40%,16.10%,4.86%,5.48%,78.10%,30.10%,,,,,,
Rialto,California,San Bernardino County,102708,"4,292",96,67,29,14,40,282,0,37%,49%,45%,5,27,31,30,11.06%,"$50,277.00 ","$1,260.00 ","$366,700.00 ",36,6%,46%,69%,53,31 mins,5.30%,2.30%,3.40%,52.10%,41.50%,2.55%,12.99%,62.90%,73.00%,,,,,,
Richardson,Texas,Dallas County,111055,"3,888",96,57,39,40,80,230,1,59%,71%,69%,8,11,33,37,53.25%,"$70,959.00 ","$1,403.00 ","$316,300.00 ",38,6%,47%,56%,54,24 mins,3.10%,3.30%,13.90%,60.20%,34.30%,15.79%,10.75%,66.84%,16.70%,,,,,,
Richland,Washington,Benton County,53991,"1,383",89,39,50,8,83,196,4,36%,76%,55%,7,15,35,36,43.03%,"$69,372.00 ","$1,087.00 ","$288,200.00 ",39,16%,55%,65%,72,19 mins,4.80%,N/A,17.90%,31.50%,56.50%,4.38%,1.94%,84.97%,11.00%,,,,,,
Richmond,California,Contra Costa County,108853,"3,622",75,57,18,28,65,262,0,70%,70%,69%,6,46,55,35,28.23%,"$54,857.00 ","$1,509.00 ","$525,600.00 ",52,8%,68%,48%,52,34 mins,3.80%,1.40%,6.40%,67.50%,24.50%,15.44%,20.16%,36.46%,42.00%,,,,,,
Richmond,Virginia,Richmond city County,220892,"3,687",88,50,38,44,112,210,11,74%,78%,74%,6,24,55,33,39.64%,"$41,331.00 ","$1,025.00 ","$214,400.00 ",62,7%,39%,20%,38,21 mins,3.40%,N/A,9.50%,78.60%,15.10%,2.10%,46.86%,45.47%,6.50%,,,,,,
Rio Rancho,New Mexico,Sandoval County,93317,902,91,48,43,12,50,273,10,41%,59%,42%,7,16,31,38,30.49%,"$59,243.00 ","$1,167.00 ","$188,500.00 ",21,3%,20%,3%,69,28 mins,5.60%,3.40%,15.10%,44.90%,42.00%,1.67%,3.10%,81.03%,40.70%,,,,,,
Riverside,California,Riverside County,321570,"3,958",95,68,27,11,34,277,0,47%,54%,53%,4,28,46,31,22.98%,"$56,089.00 ","$1,378.00 ","$409,100.00 ",42,5%,43%,55%,55,30 mins,4.20%,2.20%,7.00%,49.70%,44.40%,7.61%,6.15%,58.26%,52.80%,,,,,,
Riverview,Florida,Hillsborough,88191,"1,909",91,73,18,51,108,248,0,76%,75%,73%,6,25,47,34,31.34%,"$65,874.00 ","$1,403.00 ","$222,100.00 ",15,6%,49%,35%,58,31 mins,3.40%,2.30%,35.00%,51.00%,44.20%,2.94%,17.95%,67.53%,25.20%,,,,,,
Roanoke,Virginia,Roanoke city County,99572,"2,342",85,48,37,42,121,211,15,74%,78%,75%,5,22,59,38,23.43%,"$39,530.00 ",$814.00 ,"$158,800.00 ",60,5%,15%,1%,58,20 mins,3.20%,N/A,3.90%,56.50%,37.50%,2.98%,28.98%,62.39%,6.00%,,,,,,
Rochester,Minnesota,Olmsted County,112683,"2,042",79,27,52,34,109,180,48,81%,87%,81%,9,11,32,35,46.70%,"$63,472.00 ",$974.00 ,"$229,800.00 ",35,6%,35%,31%,52,16 mins,2.80%,0.40%,8.10%,45.30%,44.50%,7.28%,8.16%,79.43%,5.80%,,,,,,
Rochester,New York,Monroe County,209463,"5,856",80,37,43,33,142,165,77,77%,84%,79%,8,45,57,31,25.13%,"$30,784.00 ",$848.00 ,"$75,200.00 ",78,-4%,21%,20%,62,20 mins,6.20%,N/A,-1.20%,54.20%,39.30%,3.10%,39.83%,47.88%,17.80%,,,,,,
Rochester Hills,Michigan,Oakland County,73458,"2,239",80,34,46,32,123,179,33,71%,80%,75%,8,8,15,41,57.41%,"$80,806.00 ","$1,287.00 ","$326,400.00 ",35,7%,31%,37%,70,27 mins,3.40%,0.30%,4.00%,51.30%,43.20%,12.55%,4.03%,80.40%,4.50%,,,,,,
Rock Hill,South Carolina,York County,70764,"1,861",89,54,35,44,99,212,3,73%,74%,72%,6,34,52,33,30.31%,"$40,718.00 ",$967.00 ,"$171,300.00 ",26,7%,41%,31%,44,23 mins,4.10%,1.60%,12.10%,36.40%,58.40%,1.89%,39.10%,54.51%,5.10%,,,,,,
Rocklin,California,Placer County,61697,"3,114",93,54,39,21,60,255,0,41%,68%,56%,4,10,28,37,46.36%,"$79,274.00 ","$1,675.00 ","$494,700.00 ",21,6%,39%,48%,41,26 mins,3.40%,1.40%,13.70%,39.50%,51.10%,9.81%,1.85%,79.01%,12.20%,,,,,,
Rockville,Maryland,Montgomery County,66420,"4,886",83,45,38,42,112,203,18,70%,74%,71%,6,17,26,38,64.90%,"$98,530.00 ","$1,921.00 ","$502,200.00 ",39,4%,12%,5%,35,32 mins,3.20%,0.80%,13.90%,74.70%,19.40%,21.11%,10.89%,56.34%,15.40%,,,,,,
Rocky Mount,North Carolina,Nash County,55373,"1,253",88,54,34,45,105,217,2,78%,76%,75%,7,45,64,37,20.26%,"$36,724.00 ",$793.00 ,"$91,300.00 ",39,8%,9%,-4%,64,20 mins,7.50%,-1.10%,-4.20%,48.70%,48.90%,1.26%,63.57%,30.07%,3.90%,,,,,,
Rogers,Arkansas,Benton County,63411,"1,662",89,48,41,47,96,214,9,72%,75%,74%,8,21,45,33,30.45%,"$52,386.00 ",$898.00 ,"$182,100.00 ",25,7%,36%,27%,55,16 mins,2.70%,0.70%,19.20%,28.90%,62.90%,2.36%,1.68%,89.04%,32.60%,,,,,,
Rosemead,California,Los Angeles County,54615,"10,580",87,69,18,16,31,285,0,52%,48%,52%,5,19,33,41,19.77%,"$44,524.00 ","$1,353.00 ","$605,600.00 ",58,7%,37%,35%,41,28 mins,4.60%,0.70%,1.80%,71.80%,22.40%,61.73%,N/A,14.40%,33.60%,,,,,,
Roseville,California,Placer County,130705,"3,035",93,54,39,21,60,247,0,42%,68%,56%,4,14,37,38,41.70%,"$76,712.00 ","$1,604.00 ","$463,600.00 ",23,5%,37%,48%,41,25 mins,3.30%,1.40%,14.80%,39.50%,51.10%,10.81%,2.16%,77.47%,15.10%,,,,,,
Roswell,Georgia,Fulton County,94239,"2,314",86,53,33,53,107,221,2,68%,75%,70%,6,10,28,37,58.16%,"$79,359.00 ","$1,281.00 ","$393,500.00 ",30,7%,43%,33%,48,29 mins,2.70%,2.90%,10.00%,67.70%,26.80%,4.33%,14.30%,75.05%,14.80%,,,,,,
Round Rock,Texas,Williamson County,116369,"3,226",96,62,34,36,78,232,0,59%,71%,69%,8,10,32,33,40.02%,"$70,952.00 ","$1,316.00 ","$275,800.00 ",19,6%,46%,60%,62,25 mins,2.90%,3.50%,25.00%,41.30%,50.90%,6.82%,10.53%,75.21%,30.80%,,,,,,
Rowland Heights,California,Los Angeles County,50572,"3,868",88,69,19,16,33,279,0,62%,57%,61%,5,17,33,41,39.69%,"$61,375.00 ","$1,613.00 ","$649,600.00 ",42,4%,34%,31%,46,31 mins,5.00%,0.70%,-1.90%,71.80%,22.40%,62.44%,1.39%,19.63%,25.50%,,,,,,
Rowlett,Texas,Dallas County,60357,"2,889",96,57,39,40,86,230,1,59%,71%,69%,8,15,24,38,35.55%,"$83,442.00 ","$1,627.00 ","$255,400.00 ",24,5%,40%,48%,63,31 mins,3.50%,3.30%,12.20%,60.20%,34.30%,7.44%,17.53%,69.55%,20.70%,,,,,,
Royal Oak,Michigan,Oakland County,58973,"5,001",81,36,45,33,123,177,32,71%,80%,75%,8,12,20,36,57.90%,"$64,873.00 ","$1,079.00 ","$247,100.00 ",62,7%,40%,46%,60,24 mins,2.50%,0.30%,2.10%,51.30%,43.20%,4.14%,3.72%,89.87%,2.60%,,,,,,
Sacramento,California,Sacramento County,489650,"5,005",92,54,38,20,63,269,0,46%,69%,58%,4,35,46,34,33.11%,"$50,013.00 ","$1,263.00 ","$327,300.00 ",43,5%,53%,60%,24,25 mins,4.20%,1.40%,6.60%,58.00%,33.80%,18.88%,13.18%,46.35%,28.30%,,,,,,
Salem,Oregon,Marion County,163654,"3,364",82,46,36,45,152,154,4,66%,87%,78%,4,20,58,35,28.38%,"$46,273.00 ",$975.00 ,"$282,600.00 ",40,11%,63%,40%,38,21 mins,4.70%,-0.10%,7.80%,42.20%,46.30%,2.55%,1.36%,81.53%,22.40%,,,,,,
Salinas,California,Monterey County,156811,"6,693",71,61,10,15,60,259,0,57%,68%,63%,5,37,44,30,13.35%,"$49,728.00 ","$1,411.00 ","$491,000.00 ",42,7%,50%,51%,67,23 mins,5.60%,1.80%,6.60%,66.80%,26.20%,5.47%,1.51%,37.37%,77.20%,,,,,,
Salt Lake City,Utah,Salt Lake County,194188,"1,746",89,39,50,20,91,222,54,39%,79%,59%,5,42,95,31,46.55%,"$45,833.00 ",$985.00 ,"$392,000.00 ",60,13%,58%,52%,54,19 mins,2.90%,1.50%,5.30%,41.50%,32.60%,5.42%,2.61%,72.84%,21.30%,,,,,,
Sammamish,Washington,King County,62877,"3,077",76,45,31,53,174,155,6,70%,85%,78%,4,7,15,38,75.16%,"$144,775.00 ","$2,395.00 ","$905,400.00 ",25,5%,49%,41%,52,32 mins,2.80%,2.60%,45.10%,69.80%,21.00%,31.73%,1.26%,62.03%,3.90%,,,,,,
San Angelo,Texas,Tom Green County,99135,"1,653",95,60,35,23,57,250,1,46%,56%,52%,11,21,58,33,24.72%,"$42,855.00 ",$884.00 ,"$138,700.00 ",44,7%,26%,41%,70,16 mins,3.30%,1.60%,8.50%,23.80%,71.50%,1.41%,4.91%,85.36%,41.70%,,,,,,
San Antonio,Texas,Bexar County,1461623,"3,016",96,64,32,33,83,220,0,60%,70%,69%,8,37,72,33,26.01%,"$46,317.00 ",$992.00 ,"$175,400.00 ",36,8%,43%,43%,57,24 mins,3.30%,N/A,13.30%,53.70%,40.40%,2.83%,6.95%,80.34%,64.00%,,,,,,
San Bernardino,California,San Bernardino County,215252,"3,469",96,67,29,13,40,280,0,37%,49%,45%,5,56,60,29,11.91%,"$38,774.00 ","$1,059.00 ","$296,200.00 ",48,7%,54%,61%,56,27 mins,5.60%,2.30%,2.90%,52.10%,41.50%,4.08%,14.35%,57.77%,64.30%,,,,,,
San Clemente,California,Orange County,65226,"3,553",86,67,19,14,37,281,0,68%,61%,66%,5,11,20,43,50.90%,"$91,749.00 ","$1,880.00 ","$948,600.00 ",36,5%,32%,22%,69,29 mins,3.00%,0.60%,7.30%,50.90%,42.30%,4.25%,N/A,83.12%,17.90%,,,,,,
San Diego,California,San Diego County,1390966,"4,272",80,66,14,12,38,266,0,63%,56%,61%,5,24,31,34,45.94%,"$65,753.00 ","$1,695.00 ","$645,300.00 ",41,4%,37%,55%,59,24 mins,3.40%,1.40%,8.40%,56.30%,36.60%,16.72%,6.39%,65.11%,30.00%,,,,,,
San Francisco,California,San Francisco County,864263,"18,442",69,58,11,25,72,259,0,70%,70%,69%,6,39,79,38,58.06%,"$78,378.00 ","$1,895.00 ","$1,378,300.00 ",75,5%,48%,48%,37,32 mins,2.40%,1.30%,9.50%,84.50%,9.20%,34.40%,5.21%,46.41%,15.30%,,,,,,
San Jose,California,Santa Clara County,1023031,"5,776",82,58,24,17,62,257,0,60%,70%,65%,4,25,36,36,43.74%,"$83,787.00 ","$2,107.00 ","$1,003,100.00 ",42,7%,59%,86%,45,29 mins,2.90%,2.50%,10.60%,72.70%,20.60%,35.91%,3.00%,39.91%,32.30%,,,,,,
San Leandro,California,Alameda County,89910,"6,739",74,57,17,21,66,258,0,63%,68%,65%,5,29,57,40,31.71%,"$64,279.00 ","$1,652.00 ","$645,200.00 ",58,5%,52%,41%,38,32 mins,3.50%,1.40%,8.60%,78.10%,14.50%,34.73%,10.26%,37.22%,27.60%,,,,,,
San Marcos,California,San Diego County,93493,"3,839",82,66,16,14,41,265,0,61%,57%,61%,4,15,22,35,37.04%,"$56,139.00 ","$1,704.00 ","$597,800.00 ",27,4%,37%,55%,60,26 mins,3.50%,1.40%,19.70%,56.30%,36.60%,9.74%,2.72%,74.31%,38.60%,,,,,,
San Marcos,Texas,Hays County,59935,"1,762",96,63,33,35,83,232,0,62%,72%,71%,7,16,43,23,33.46%,"$27,261.00 ","$1,064.00 ","$216,900.00 ",23,7%,49%,58%,57,22 mins,3.40%,3.50%,38.50%,46.00%,46.90%,2.47%,6.38%,84.29%,41.80%,,,,,,
San Mateo,California,San Mateo County,103500,"8,502",75,58,17,24,77,265,0,73%,70%,71%,6,17,30,38,54.20%,"$90,087.00 ","$2,475.00 ","$1,410,700.00 ",55,5%,54%,59%,46,27 mins,2.20%,1.30%,9.20%,75.70%,18.40%,24.10%,1.96%,52.92%,25.60%,,,,,,
San Rafael,California,Marin County,59180,"3,572",78,56,22,41,77,256,0,80%,71%,74%,7,17,42,41,52.19%,"$75,668.00 ","$1,937.00 ","$1,042,200.00 ",51,5%,37%,30%,67,28 mins,2.40%,1.40%,4.00%,77.30%,15.50%,6.83%,1.37%,66.78%,29.70%,,,,,,
San Ramon,California,Contra Costa County,75048,"4,016",84,57,27,19,64,256,0,57%,70%,63%,5,8,19,38,70.61%,"$129,062.00 ","$2,391.00 ","$1,046,000.00 ",26,6%,35%,40%,70,37 mins,2.90%,1.40%,12.30%,67.50%,24.50%,46.70%,2.34%,43.09%,7.90%,,,,,,
San Tan Valley,Arizona,Pinal County,90665,"2,472",103,65,38,10,32,292,0,N/A,N/A,N/A,N/A,16,42,32,21.28%,"$59,874.00 ","$1,356.00 ","$227,200.00 ",12,9%,47%,52%,69,36 mins,5.80%,3.10%,41.50%,37.00%,56.20%,2.19%,4.17%,84.80%,22.70%,,,,,,
Sandy,Utah,Salt Lake County,94556,"3,974",90,40,50,20,90,229,61,39%,80%,59%,5,13,45,35,41.82%,"$78,048.00 ","$1,305.00 ","$430,400.00 ",34,9%,48%,41%,73,22 mins,3.00%,1.50%,8.50%,41.50%,32.60%,3.75%,N/A,90.09%,8.90%,,,,,,
Sandy Springs,Georgia,Fulton County,103703,"2,754",87,54,33,53,107,213,1,69%,75%,71%,6,10,37,36,65.13%,"$63,401.00 ","$1,327.00 ","$486,500.00 ",34,7%,42%,32%,42,25 mins,2.80%,2.90%,14.20%,67.70%,26.80%,7.33%,18.61%,67.70%,14.40%,,,,,,
Sanford,Florida,Seminole County,57979,"2,496",92,72,20,53,120,238,0,76%,75%,74%,6,41,69,33,23.03%,"$39,776.00 ","$1,110.00 ","$199,300.00 ",29,9%,62%,26%,57,27 mins,4.20%,4.00%,12.70%,46.60%,48.10%,4.10%,29.35%,56.05%,24.80%,,,,,,
Santa Ana,California,Orange County,334493,"12,225",84,68,16,13,36,279,0,69%,61%,67%,5,29,30,31,14.98%,"$52,519.00 ","$1,563.00 ","$557,300.00 ",49,5%,41%,32%,49,25 mins,3.30%,0.60%,2.90%,50.90%,42.30%,11.76%,1.14%,40.15%,77.30%,,,,,,
Santa Barbara,California,Santa Barbara County,91443,"4,689",74,63,11,19,38,283,0,55%,56%,57%,5,18,42,37,49.23%,"$65,916.00 ","$1,786.00 ","$1,161,300.00 ",54,5%,34%,32%,64,17 mins,2.80%,0.80%,4.10%,59.90%,31.50%,3.97%,1.55%,79.23%,37.00%,,,,,,
Santa Clara,California,Santa Clara County,124635,"6,774",80,58,22,15,63,261,0,60%,70%,65%,4,9,38,33,59.86%,"$93,840.00 ","$2,396.00 ","$1,292,200.00 ",47,7%,73%,108%,37,23 mins,2.50%,2.50%,10.80%,72.70%,20.60%,43.24%,2.96%,39.92%,17.10%,,,,,,
Santa Clarita,California,Los Angeles County,209489,"3,180",91,64,27,18,34,280,0,50%,50%,52%,5,11,22,36,36.82%,"$83,178.00 ","$1,895.00 ","$545,200.00 ",31,3%,36%,27%,65,34 mins,4.80%,0.70%,21.60%,71.80%,22.40%,11.12%,3.93%,70.96%,32.30%,,,,,,
Santa Cruz,California,Santa Cruz County,63993,"5,023",78,61,17,33,69,262,0,75%,70%,72%,6,38,74,29,53.79%,"$61,533.00 ","$1,889.00 ","$909,500.00 ",51,4%,41%,50%,72,23 mins,4.20%,1.80%,9.80%,73.30%,17.30%,10.14%,2.09%,73.94%,20.60%,,,,,,
Santa Fe,New Mexico,Santa Fe County,82980,"1,590",83,44,39,15,66,283,26,N/A,N/A,N/A,N/A,24,57,42,41.71%,"$50,213.00 ","$1,080.00 ","$380,400.00 ",34,13%,33%,11%,72,19 mins,4.50%,3.10%,22.80%,71.10%,20.10%,1.15%,1.17%,88.01%,54.70%,,,,,,
Santa Maria,California,Santa Barbara County,104791,"4,599",78,64,14,17,46,280,0,61%,60%,61%,7,25,39,29,13.83%,"$50,753.00 ","$1,414.00 ","$383,600.00 ",38,4%,35%,33%,70,20 mins,4.50%,0.80%,10.70%,59.90%,31.50%,5.32%,1.27%,82.07%,74.60%,,,,,,
Santa Monica,California,Los Angeles County,92495,"10,992",74,64,10,14,30,281,0,58%,50%,56%,5,21,56,40,67.90%,"$74,534.00 ","$1,802.00 ","$1,698,700.00 ",51,4%,49%,53%,34,26 mins,4.70%,0.70%,4.30%,71.80%,22.40%,10.15%,4.48%,75.94%,16.00%,,,,,,
Santa Rosa,California,Sonoma County,174244,"4,099",84,58,26,38,76,256,0,63%,72%,66%,5,17,31,38,32.59%,"$60,758.00 ","$1,609.00 ","$578,900.00 ",39,4%,47%,61%,59,22 mins,3.10%,1.70%,7.10%,68.80%,22.00%,5.51%,2.65%,66.79%,31.80%,,,,,,
Santee,California,San Diego County,57376,"3,469",85,68,17,13,37,268,0,57%,55%,58%,4,12,25,38,29.54%,"$74,213.00 ","$1,744.00 ","$527,600.00 ",40,4%,36%,52%,65,26 mins,3.20%,1.40%,8.30%,56.30%,36.60%,5.81%,2.26%,80.36%,18.40%,,,,,,
Sarasota,Florida,Sarasota County,55103,"3,742",91,74,17,56,106,251,0,74%,76%,74%,8,26,60,47,36.44%,"$41,670.00 ","$1,134.00 ","$264,500.00 ",44,5%,54%,46%,63,20 mins,3.20%,2.60%,4.20%,42.30%,53.80%,1.66%,14.23%,80.57%,18.30%,,,,,,
Savannah,Georgia,Chatham County,145094,"1,397",90,62,28,49,104,216,0,76%,76%,74%,7,22,51,32,28.21%,"$36,628.00 ","$1,019.00 ","$131,700.00 ",50,7%,32%,8%,54,20 mins,3.80%,1.40%,8.00%,55.10%,40.40%,2.61%,53.93%,38.88%,4.80%,,,,,,
Scottsdale,Arizona,Maricopa County,239283,"1,301",103,65,38,11,38,299,0,31%,42%,30%,5,11,35,46,58.41%,"$72,455.00 ","$1,365.00 ","$469,400.00 ",29,7%,33%,33%,62,22 mins,4.00%,3.30%,9.40%,44.80%,47.70%,4.87%,1.82%,88.11%,10.30%,,,,,,
Seattle,Washington,King County,688245,"8,207",76,46,30,38,155,152,5,69%,84%,77%,4,32,76,35,64.05%,"$67,365.00 ","$1,614.00 ","$714,400.00 ",53,4%,55%,46%,15,27 mins,2.90%,2.60%,15.60%,69.80%,21.00%,15.43%,7.33%,67.30%,6.50%,,,,,,
Shawnee,Kansas,Johnson County,64840,"1,545",87,41,46,41,92,216,15,76%,73%,74%,8,15,27,38,48.27%,"$74,992.00 ","$1,008.00 ","$267,000.00 ",30,7%,34%,28%,56,21 mins,3.60%,1.50%,8.00%,44.10%,46.70%,3.45%,5.16%,86.12%,7.10%,,,,,,
Shelby charter township,Michigan,Macomb County,77650,"2,264",80,35,45,33,125,179,32,N/A,N/A,N/A,N/A,20,27,43,N/A,"$64,946.00 ",N/A,"$278,400.00 ",31,6%,35%,34%,66,27 mins,4.10%,0.20%,6.70%,42.00%,53.60%,N/A,N/A,N/A,2.10%,,,,,,
Shoreline,Washington,King County,55431,"4,765",75,46,29,37,156,150,5,72%,84%,79%,4,10,39,41,48.90%,"$64,096.00 ","$1,574.00 ","$570,900.00 ",52,5%,59%,43%,27,31 mins,3.30%,2.60%,5.50%,69.80%,21.00%,15.71%,6.19%,69.10%,9.50%,,,,,,
Shreveport,Louisiana,Caddo County,196217,"1,831",94,58,36,52,90,211,1,69%,80%,74%,5,42,70,35,24.69%,"$38,413.00 ",$812.00 ,"$102,600.00 ",46,0%,8%,10%,38,19 mins,5.80%,0.30%,-1.10%,50.50%,46.30%,1.67%,57.09%,38.00%,2.60%,,,,,,
Silver Spring,Maryland,Montgomery County,79483,"10,080",87,46,41,44,112,202,14,70%,74%,71%,6,20,31,34,54.94%,"$72,289.00 ","$1,665.00 ","$406,600.00 ",54,3%,13%,0%,24,34 mins,3.30%,0.80%,13.50%,74.70%,19.40%,7.40%,28.43%,39.86%,28.10%,,,,,,
Simi Valley,California,Ventura County,126546,"3,048",94,68,26,17,35,277,0,55%,54%,56%,5,10,21,40,33.61%,"$89,595.00 ","$2,023.00 ","$578,800.00 ",38,4%,28%,39%,67,30 mins,3.50%,1.00%,4.00%,54.60%,37.20%,10.42%,1.30%,78.54%,25.70%,,,,,,
Sioux City,Iowa,Woodbury County,82568,"1,413",83,31,52,30,84,210,32,75%,80%,73%,9,18,58,34,22.14%,"$43,629.00 ",$783.00 ,"$115,000.00 ",62,7%,28%,36%,72,16 mins,2.60%,1.30%,0.60%,37.10%,56.60%,3.44%,4.38%,83.38%,18.80%,,,,,,
Sioux Falls,South Dakota,Minnehaha County,170401,"2,198",81,28,53,27,90,211,38,74%,84%,75%,9,25,44,34,35.18%,"$52,607.00 ",$827.00 ,"$188,100.00 ",32,7%,31%,35%,74,16 mins,2.10%,N/A,14.50%,39.10%,53.70%,2.48%,6.23%,84.49%,5.00%,,,,,,
Smithtown,New York,Suffolk County,117863,"2,195",81,44,37,47,111,206,28,74%,73%,73%,11,21,27,45,48.96%,"$111,407.00 ","$1,793.00 ","$491,800.00 ",50,3%,13%,7%,65,33 mins,3.80%,N/A,0.20%,44.60%,51.50%,4.05%,1.21%,92.10%,5.20%,,,,,,
Smyrna,Georgia,Cobb County,55467,"3,548",87,54,33,53,108,220,1,69%,75%,71%,6,15,41,35,53.51%,"$61,333.00 ","$1,248.00 ","$288,200.00 ",30,10%,56%,35%,43,29 mins,2.90%,2.90%,10.40%,47.90%,45.80%,7.72%,31.36%,48.76%,14.40%,,,,,,
Somerville,Massachusetts,Middlesex County,79983,"19,395",81,41,40,48,134,197,51,73%,75%,74%,8,13,26,31,64.45%,"$66,866.00 ","$1,874.00 ","$702,800.00 ",78,5%,50%,60%,46,31 mins,1.90%,4.30%,6.30%,65.30%,27.60%,10.26%,6.16%,75.76%,9.90%,,,,,,
South Bend,Indiana,St. Joseph County,101928,"2,454",81,35,46,40,143,172,63,83%,83%,80%,8,42,69,33,25.73%,"$34,656.00 ",$789.00 ,"$67,900.00 ",62,8%,31%,18%,68,19 mins,4.50%,1.80%,-0.10%,46.70%,46.50%,1.46%,26.61%,61.72%,14.40%,,,,,,
South Gate,California,Los Angeles County,95420,"13,187",79,66,13,14,32,278,0,65%,56%,62%,5,38,45,31,9.43%,"$43,526.00 ","$1,160.00 ","$450,900.00 ",66,4%,41%,26%,29,31 mins,5.30%,0.70%,0.80%,71.80%,22.40%,N/A,N/A,62.87%,95.20%,,,,,,
South Hill,Washington,Pierce County,56379,"3,071",77,45,32,43,163,139,5,71%,86%,79%,4,15,45,34,27.87%,"$74,010.00 ","$1,536.00 ","$351,400.00 ",24,9%,44%,25%,50,36 mins,5.60%,1.80%,7.40%,47.90%,40.80%,6.81%,3.70%,73.79%,11.80%,,,,,,
South Jordan,Utah,Salt Lake County,65523,"2,950",90,40,50,18,85,225,44,39%,80%,59%,5,10,34,32,42.25%,"$91,228.00 ","$1,418.00 ","$449,900.00 ",14,8%,41%,34%,77,24 mins,3.00%,1.50%,41.30%,41.50%,32.60%,3.78%,N/A,88.36%,5.30%,,,,,,
South San Francisco,California,San Mateo County,67120,"7,275",68,57,11,22,68,259,0,73%,70%,71%,6,15,31,39,35.65%,"$78,101.00 ","$2,105.00 ","$1,017,500.00 ",51,6%,46%,45%,75,27 mins,2.60%,1.30%,8.20%,75.70%,18.40%,40.78%,1.84%,34.55%,33.90%,,,,,,
South Whittier,California,Los Angeles County,60000,"11,242",87,69,18,15,27,284,0,N/A,N/A,N/A,N/A,19,36,33,15.28%,"$64,112.00 ","$1,536.00 ","$506,200.00 ",60,4%,36%,29%,45,30 mins,5.00%,0.70%,5.50%,71.80%,22.40%,5.48%,N/A,41.02%,78.10%,,,,,,
Southampton,New York,Suffolk County,58024,417,80,44,36,48,113,206,28,77%,74%,76%,14,11,24,45,42.20%,"$77,130.00 ","$1,819.00 ","$1,525,500.00 ",43,6%,43%,22%,84,26 mins,3.80%,N/A,2.60%,44.60%,51.50%,2.04%,5.74%,85.33%,20.20%,,,,,,
Southaven,Mississippi,DeSoto County,52434,"1,269",91,52,39,55,102,215,3,74%,78%,74%,7,13,40,36,25.15%,"$58,712.00 ","$1,056.00 ","$154,200.00 ",23,9%,28%,13%,49,23 mins,4.50%,1.50%,12.20%,31.10%,65.10%,1.99%,27.95%,65.92%,5.10%,,,,,,
Southfield,Michigan,Oakland County,73228,"2,789",82,36,46,34,126,176,35,74%,81%,76%,9,18,41,42,37.75%,"$49,548.00 ","$1,125.00 ","$176,800.00 ",48,9%,59%,38%,61,24 mins,5.90%,0.30%,0.40%,51.30%,43.20%,2.32%,69.43%,23.11%,1.50%,,,,,,
Sparks,Nevada,Washoe County,96786,"2,702",90,45,45,8,51,253,19,28%,72%,51%,6,24,39,37,23.28%,"$53,481.00 ","$1,138.00 ","$342,200.00 ",27,10%,72%,54%,58,21 mins,3.40%,4.60%,10.90%,46.40%,45.10%,5.65%,2.30%,74.89%,27.60%,,,,,,
Spokane,Washington,Spokane County,212982,"3,097",83,33,50,17,115,171,44,42%,88%,69%,5,28,95,35,31.28%,"$42,814.00 ",$866.00 ,"$217,900.00 ",58,12%,51%,29%,44,20 mins,5.90%,-0.60%,3.10%,39.70%,48.10%,2.74%,2.30%,84.66%,6.20%,,,,,,
Spokane Valley,Washington,Spokane County,94424,"2,503",84,34,50,20,117,174,42,N/A,N/A,N/A,N/A,15,74,38,23.36%,"$48,274.00 ",$946.00 ,"$248,700.00 ",40,11%,54%,30%,59,20 mins,5.50%,-0.60%,7.20%,39.70%,48.10%,1.55%,1.17%,89.84%,5.60%,,,,,,
Spring,Texas,Harris County,57932,"2,576",94,64,30,51,94,207,0,68%,74%,72%,7,15,36,33,23.91%,"$67,252.00 ","$1,399.00 ","$193,900.00 ",30,5%,33%,43%,45,32 mins,4.00%,3.20%,9.40%,54.00%,41.60%,2.87%,22.71%,62.99%,30.20%,,,,,,
